GONo,ABNo,Time,Vb [m3],VbT [m3],Vm [m3],VmT [m3],Diffrence,p.MP  [ bar],p.MP  [ psig],T.MP [{C],K.MP,C.MP,St.2,St.4,St.7,St.6,StSy,Ev,Check
11461,11448,"2024-11-12,13:00:00",462079.1474,462079.1474,245559,245559,1,1.9904,14.16836352,29.79,0.99861,1.86686,0,14,0,0,15,0x8104,CRC Ok
11462,11449,"2024-11-12,14:00:00",462081.1822,462081.1822,245560,245560,4,2.03515,14.81740857,29.85,0.99854,1.90862,0,14,0,0,15,0x8104,CRC Ok
11463,11450,"2024-11-12,15:00:00",462088.9274,462088.9274,245564,245564,138,2.06885,15.30618663,29.83,0.99849,1.94046,0,14,0,0,15,0x8104,CRC Ok
11464,11451,"2024-11-12,16:00:00",462357.9951,462357.9951,245702,245702,256,2.07779,15.4358506,29.75,0.99847,1.94939,0,14,0,0,15,0x8104,CRC Ok
11465,11452,"2024-11-12,17:00:00",462858.8333,462858.8333,245958,245958,108,2.08767,15.57914815,29.65,0.99844,1.95933,0,14,0,0,15,0x8104,CRC Ok
11466,11453,"2024-11-12,18:00:00",463070.6894,463070.6894,246066,246066,0,2.1468,16.43675784,29.59,0.99833,2.01547,0,14,0,0,15,0x8104,CRC Ok
11467,11454,"2024-11-12,19:00:00",463070.6894,463070.6894,246066,246066,0,2.20151,17.23026074,29.51,0.99821,2.06767,0,14,0,0,15,0x8104,CRC Ok
11468,11455,"2024-11-12,20:00:00",463070.6894,463070.6894,246066,246066,0,2.12648,16.14204062,29.33,0.99833,1.99809,0,14,0,0,15,0x8104,CRC Ok
11469,11456,"2024-11-12,21:00:00",463070.6894,463070.6894,246066,246066,0,2.06384,15.23352259,29.08,0.99845,1.94063,0,14,0,0,15,0x8104,CRC Ok
11470,11457,"2024-11-12,22:00:00",463070.6894,463070.6894,246066,246066,0,2.05421,15.093851,28.8,0.99846,1.93332,0,14,0,0,15,0x8104,CRC Ok
11471,11458,"2024-11-12,23:00:00",463070.6894,463070.6894,246066,246066,4,2.05578,15.11662196,28.51,0.99844,1.93673,0,14,0,0,15,0x8104,CRC Ok
11472,11459,"2024-11-13,00:00:00",463078.517,463078.517,246070,246070,11,2.0975,15.7217205,28.85,0.99838,1.97391,0,14,0,0,15,0x8104,CRC Ok
11473,11460,"2024-11-13,01:00:00",463100.2355,463100.2355,246081,246081,22,2.09794,15.72810217,29.12,0.9984,1.97255,0,14,0,0,15,0x8104,CRC Ok
11474,11461,"2024-11-13,02:00:00",463143.5802,463143.5802,246103,246103,118,2.11673,16.00062857,29,0.99836,1.99109,0,14,0,0,15,0x8104,CRC Ok
11475,11462,"2024-11-13,03:00:00",463375.4554,463375.4554,246221,246221,237,2.08991,15.61163666,28.86,0.9984,1.9667,0,14,0,0,15,0x8104,CRC Ok
11476,11463,"2024-11-13,04:00:00",463841.8991,463841.8991,246458,246458,283,2.0877,15.57958326,28.78,0.99841,1.96512,0,14,0,0,15,0x8104,CRC Ok
11477,11464,"2024-11-13,05:00:00",464398.7695,464398.7695,246741,246741,234,2.08899,15.59829316,28.78,0.9984,1.96632,0,14,0,0,15,0x8104,CRC Ok
11478,11465,"2024-11-13,06:00:00",464859.175,464859.175,246975,246975,287,2.12785,16.16191083,28.79,0.99832,2.00299,0,14,0,0,15,0x8104,CRC Ok
11479,11466,"2024-11-13,07:00:00",465421.372,465421.372,247262,247262,287,2.07686,15.42236207,28.98,0.99841,1.95362,0,14,0,0,15,0x8104,CRC Ok
11480,11467,"2024-11-13,08:00:00",465983.7839,465983.7839,247549,247549,287,2.08145,15.48893451,29.14,0.99843,1.95685,0,14,0,0,15,0x8104,CRC Ok
11481,11468,"2024-11-13,09:00:00",466544.2343,466544.2343,247836,247836,284,2.08201,15.49705664,29.32,0.99844,1.95616,0,14,0,0,15,0x8104,CRC Ok
11482,11469,"2024-11-13,10:00:00",467092.6766,467092.6766,248120,248120,283,2.05774,15.14504941,29.49,0.99848,1.93221,0,14,0,0,15,0x8104,CRC Ok
11483,11470,"2024-11-13,11:00:00",467627.9623,467627.9623,248403,248403,280,2.01636,14.54488217,29.57,0.99856,1.89272,0,14,0,0,15,0x8104,CRC Ok
11484,11471,"2024-11-13,12:00:00",468148.3984,468148.3984,248683,248683,280,1.97677,13.97067673,29.63,0.99862,1.85503,0,14,0,0,15,0x8104,CRC Ok
11485,11472,"2024-11-13,13:00:00",468654.9329,468654.9329,248963,248963,280,1.92537,13.22518141,29.7,0.99872,1.80622,0,14,0,0,15,0x8104,CRC Ok
11486,11473,"2024-11-13,14:00:00",469162.1,469162.1,249243,249243,281,1.92571,13.2301127,29.75,0.99872,1.80623,0,14,0,0,15,0x8104,CRC Ok
11487,11474,"2024-11-13,15:00:00",469699.0821,469699.0821,249524,249524,281,2.03184,14.76940099,29.76,0.99854,1.90606,0,14,0,0,15,0x8104,CRC Ok
11488,11475,"2024-11-13,16:00:00",470246.4407,470246.4407,249805,249805,282,2.07804,15.43947655,29.73,0.99846,1.94978,0,14,0,0,15,0x8104,CRC Ok
11489,11476,"2024-11-13,17:00:00",470796.422,470796.422,250087,250087,151,2.07552,15.40292698,29.66,0.99846,1.94782,0,14,0,0,15,0x8104,CRC Ok
11490,11477,"2024-11-13,18:00:00",471092.2465,471092.2465,250238,250238,0,2.15517,16.55815465,29.58,0.9983,2.02347,0,14,0,0,15,0x8104,CRC Ok
11491,11478,"2024-11-13,19:00:00",471092.2465,471092.2465,250238,250238,0,2.19222,17.09552044,29.43,0.99822,2.05944,0,14,0,0,15,0x8104,CRC Ok
11492,11479,"2024-11-13,20:00:00",471092.2465,471092.2465,250238,250238,0,2.11771,16.0148423,29.19,0.99834,1.99076,0,14,0,0,15,0x8104,CRC Ok
11493,11480,"2024-11-13,21:00:00",471092.2465,471092.2465,250238,250238,0,2.06275,15.21771345,28.93,0.99844,1.94057,0,14,0,0,15,0x8104,CRC Ok
11494,11481,"2024-11-13,22:00:00",471092.2465,471092.2465,250238,250238,0,2.05961,15.17217152,28.62,0.99844,1.93963,0,14,0,0,15,0x8104,CRC Ok
11495,11482,"2024-11-13,23:00:00",471092.2465,471092.2465,250238,250238,265,2.06029,15.1820341,28.29,0.99843,1.94239,0,14,0,0,15,0x8104,CRC Ok
11496,11483,"2024-11-14,00:00:00",471615.4297,471615.4297,250503,250503,282,2.09439,15.67661368,28.77,0.99837,1.97155,0,14,0,0,15,0x8104,CRC Ok
11497,11484,"2024-11-14,01:00:00",472171.4618,472171.4618,250785,250785,276,2.09422,15.67414804,29.08,0.99839,1.96927,0,14,0,0,15,0x8104,CRC Ok
11498,11485,"2024-11-14,02:00:00",472716.6918,472716.6918,251061,251061,284,2.1031,15.80294178,28.98,0.99838,1.97831,0,14,0,0,15,0x8104,CRC Ok
11499,11486,"2024-11-14,03:00:00",473277.9675,473277.9675,251345,251345,287,2.09786,15.72694187,28.89,0.99839,1.97398,0,14,0,0,15,0x8104,CRC Ok
11500,11487,"2024-11-14,04:00:00",473844.6473,473844.6473,251632,251632,287,2.09901,15.74362124,28.82,0.99839,1.97555,0,14,0,0,15,0x8104,CRC Ok
11501,11488,"2024-11-14,05:00:00",474411.3021,474411.3021,251919,251919,240,2.10018,15.76059068,28.78,0.99838,1.97689,0,14,0,0,15,0x8104,CRC Ok
11502,11489,"2024-11-14,06:00:00",474884.3849,474884.3849,252159,252159,274,2.11533,15.98032325,28.77,0.99834,1.99132,0,14,0,0,15,0x8104,CRC Ok
11503,11490,"2024-11-14,07:00:00",475426.4923,475426.4923,252433,252433,283,2.11278,15.94333856,28.91,0.99835,1.98795,0,14,0,0,15,0x8104,CRC Ok
11504,11491,"2024-11-14,08:00:00",475984.3588,475984.3588,252716,252716,282,2.09489,15.68386558,29.1,0.9984,1.96981,0,14,0,0,15,0x8104,CRC Ok
11505,11492,"2024-11-14,09:00:00",476539.3532,476539.3532,252998,252998,281,2.09531,15.68995718,29.24,0.99841,1.96928,0,14,0,0,15,0x8104,CRC Ok
11506,11493,"2024-11-14,10:00:00",477075.6392,477075.6392,253279,253279,281,2.03142,14.7633094,29.41,0.99852,1.90792,0,14,0,0,15,0x8104,CRC Ok
11507,11494,"2024-11-14,11:00:00",477587.9227,477587.9227,253560,253560,282,1.94021,13.4404178,29.52,0.9987,1.8213,0,14,0,0,15,0x8104,CRC Ok
11508,11495,"2024-11-14,12:00:00",478103.5478,478103.5478,253842,253842,281,1.94833,13.55818865,29.61,0.99868,1.82837,0,14,0,0,15,0x8104,CRC Ok
11509,11496,"2024-11-14,13:00:00",478641.2632,478641.2632,254123,254123,279,2.03529,14.8194391,29.68,0.99852,1.90982,0,14,0,0,15,0x8104,CRC Ok
11510,11497,"2024-11-14,14:00:00",479181.3873,479181.3873,254402,254402,282,2.06614,15.26688133,29.7,0.99849,1.93874,0,14,0,0,15,0x8104,CRC Ok
11511,11498,"2024-11-14,15:00:00",479723.6787,479723.6787,254684,254684,286,2.04996,15.03220985,29.7,0.99851,1.92353,0,14,0,0,15,0x8104,CRC Ok
11512,11499,"2024-11-14,16:00:00",480282.2571,480282.2571,254970,254970,282,2.07916,15.45572081,29.66,0.99845,1.95128,0,14,0,0,15,0x8104,CRC Ok
11513,11500,"2024-11-14,17:00:00",480834.0959,480834.0959,255252,255252,272,2.08019,15.47065972,29.6,0.99846,1.95265,0,14,0,0,15,0x8104,CRC Ok
11514,11501,"2024-11-14,18:00:00",481366.1581,481366.1581,255524,255524,0,2.1017,15.78263646,29.54,0.99842,1.97331,0,14,0,0,15,0x8104,CRC Ok
11515,11502,"2024-11-14,19:00:00",481366.1581,481366.1581,255524,255524,0,2.21624,17.44390171,29.38,0.99817,2.08246,0,14,0,0,15,0x8104,CRC Ok
11516,11503,"2024-11-14,20:00:00",481366.1581,481366.1581,255524,255524,0,2.1393,16.32797934,29.05,0.9983,2.01207,0,14,0,0,15,0x8104,CRC Ok
11517,11504,"2024-11-14,21:00:00",481366.1581,481366.1581,255524,255524,0,2.07303,15.36681251,28.7,0.99841,1.95179,0,14,0,0,15,0x8104,CRC Ok
11518,11505,"2024-11-14,22:00:00",481366.1581,481366.1581,255524,255524,0,2.05962,15.17231656,28.33,0.99843,1.9415,0,14,0,0,15,0x8104,CRC Ok
11519,11506,"2024-11-14,23:00:00",481366.1581,481366.1581,255524,255524,274,2.06099,15.19218676,27.93,0.99841,1.94545,0,14,0,0,15,0x8104,CRC Ok
11520,11507,"2024-11-15,00:00:00",481907.2593,481907.2593,255798,255798,291,2.0891,15.59988858,28.56,0.99839,1.9679,0,14,0,0,15,0x8104,CRC Ok
11521,11508,"2024-11-15,01:00:00",482481.1894,482481.1894,256089,256089,290,2.10374,15.81222421,28.97,0.99838,1.97902,0,14,0,0,15,0x8104,CRC Ok
11522,11509,"2024-11-15,02:00:00",483053.7039,483053.7039,256379,256379,290,2.09741,15.72041516,28.9,0.99838,1.97354,0,14,0,0,15,0x8104,CRC Ok
11523,11510,"2024-11-15,03:00:00",483626.8501,483626.8501,256669,256669,290,2.09722,15.71765944,28.8,0.99839,1.97394,0,14,0,0,15,0x8104,CRC Ok
11524,11511,"2024-11-15,04:00:00",484200.2121,484200.2121,256959,256959,291,2.10497,15.83006389,28.71,0.99837,1.98186,0,14,0,0,15,0x8104,CRC Ok
11525,11512,"2024-11-15,05:00:00",484775.5924,484775.5924,257250,257250,115,2.09467,15.68067475,28.64,0.99838,1.97264,0,14,0,0,15,0x8104,CRC Ok
11526,11513,"2024-11-15,06:00:00",485003.885,485003.885,257365,257365,235,2.21109,17.36920714,28.34,0.99815,2.08486,0,14,0,0,15,0x8104,CRC Ok
11527,11514,"2024-11-15,07:00:00",485470.5947,485470.5947,257600,257600,195,2.13275,16.23297945,28.51,0.99831,2.00953,0,14,0,0,15,0x8104,CRC Ok
11528,11515,"2024-11-15,08:00:00",485855.1727,485855.1727,257795,257795,251,2.11707,16.00555987,28.68,0.99834,1.99353,0,14,0,0,15,0x8104,CRC Ok
11529,11516,"2024-11-15,09:00:00",486350.777,486350.777,258046,258046,260,2.10881,15.88575848,28.84,0.99836,1.98467,0,14,0,0,15,0x8104,CRC Ok
11530,11517,"2024-11-15,10:00:00",486862.5348,486862.5348,258306,258306,277,2.09192,15.6407893,29.08,0.99841,1.9671,0,14,0,0,15,0x8104,CRC Ok
11531,11518,"2024-11-15,11:00:00",487408.0665,487408.0665,258583,258583,278,2.0968,15.71156784,29.26,0.99841,1.97053,0,14,0,0,15,0x8104,CRC Ok
11532,11519,"2024-11-15,12:00:00",487953.1675,487953.1675,258861,258861,278,2.08599,15.55478176,29.37,0.99843,1.95964,0,14,0,0,15,0x8104,CRC Ok
11533,11520,"2024-11-15,13:00:00",488496.1888,488496.1888,259139,259139,277,2.07924,15.45688111,29.44,0.99844,1.9528,0,14,0,0,15,0x8104,CRC Ok
11534,11521,"2024-11-15,14:00:00",489041.0311,489041.0311,259416,259416,275,2.09234,15.64688089,29.42,0.99843,1.96524,0,14,0,0,15,0x8104,CRC Ok
11535,11522,"2024-11-15,15:00:00",489582.9179,489582.9179,259691,259691,272,2.09688,15.71272814,29.35,0.9984,1.97005,0,14,0,0,15,0x8104,CRC Ok
11536,11523,"2024-11-15,16:00:00",490120.413,490120.413,259963,259963,274,2.10665,15.85443027,29.24,0.99839,1.97994,0,14,0,0,15,0x8104,CRC Ok
11537,11524,"2024-11-15,17:00:00",490662.3185,490662.3185,260237,260237,221,2.10086,15.77045327,29.15,0.99839,1.97512,0,14,0,0,15,0x8104,CRC Ok
11538,11525,"2024-11-15,18:00:00",491099.825,491099.825,260458,260458,0,2.13177,16.21876573,29.01,0.99832,2.00521,0,14,0,0,15,0x8104,CRC Ok
11539,11526,"2024-11-15,19:00:00",491099.825,491099.825,260458,260458,0,2.19328,17.11089446,28.84,0.99819,2.0645,0,14,0,0,15,0x8104,CRC Ok
11540,11527,"2024-11-15,20:00:00",491099.825,491099.825,260458,260458,0,2.11788,16.01730794,28.57,0.99831,1.9951,0,14,0,0,15,0x8104,CRC Ok
11541,11528,"2024-11-15,21:00:00",491099.825,491099.825,260458,260458,0,2.0627,15.21698826,28.25,0.99841,1.94499,0,14,0,0,15,0x8104,CRC Ok
11542,11529,"2024-11-15,22:00:00",491099.825,491099.825,260458,260458,0,2.05917,15.16578985,27.91,0.99841,1.94385,0,14,0,0,15,0x8104,CRC Ok
11543,11530,"2024-11-15,23:00:00",491099.825,491099.825,260458,260458,281,2.0602,15.18072876,27.55,0.99839,1.94717,0,14,0,0,15,0x8104,CRC Ok
11544,11531,"2024-11-16,00:00:00",491653.7348,491653.7348,260739,260739,113,2.09134,15.63237709,28.09,0.99836,1.97314,0,14,0,0,15,0x8104,CRC Ok
11545,11532,"2024-11-16,01:00:00",491878.1346,491878.1346,260852,260852,285,2.17771,16.8850703,28.24,0.99821,2.0539,0,14,0,0,15,0x8104,CRC Ok
11546,11533,"2024-11-16,02:00:00",492441.7046,492441.7046,261137,261137,286,2.10872,15.88445314,28.21,0.99834,1.98876,0,14,0,0,15,0x8104,CRC Ok
11547,11534,"2024-11-16,03:00:00",493008.1367,493008.1367,261423,261423,96,2.10122,15.77567464,28.11,0.99834,1.98238,0,14,0,0,15,0x8104,CRC Ok
11548,11535,"2024-11-16,04:00:00",493199.359,493199.359,261519,261519,41,2.1745,16.8385131,27.77,0.99819,2.05412,0,14,0,0,15,0x8104,CRC Ok
11549,11536,"2024-11-16,05:00:00",493281.347,493281.347,261560,261560,104,2.19978,17.20516916,27.21,0.99812,2.08204,0,14,0,0,15,0x8104,CRC Ok
11550,11537,"2024-11-16,06:00:00",493488,493488,261664,261664,254,2.18102,16.93307788,27.04,0.99814,2.06543,0,14,0,0,15,0x8104,CRC Ok
11551,11538,"2024-11-16,07:00:00",493991.9403,493991.9403,261918,261918,265,2.12376,16.10259029,27.81,0.99829,2.00571,0,14,0,0,15,0x8104,CRC Ok
11552,11539,"2024-11-16,08:00:00",494517.4002,494517.4002,262183,262183,257,2.10688,15.85776614,28.12,0.99833,1.98767,0,14,0,0,15,0x8104,CRC Ok
11553,11540,"2024-11-16,09:00:00",495026.458,495026.458,262440,262440,265,2.10324,15.80497231,28.25,0.99835,1.9833,0,14,0,0,15,0x8104,CRC Ok
11554,11541,"2024-11-16,10:00:00",495549.5449,495549.5449,262705,262705,266,2.098,15.7289724,28.49,0.99836,1.97681,0,14,0,0,15,0x8104,CRC Ok
11555,11542,"2024-11-16,11:00:00",496073.6041,496073.6041,262971,262971,265,2.09064,15.62222443,28.73,0.99839,1.96823,0,14,0,0,15,0x8104,CRC Ok
11556,11543,"2024-11-16,12:00:00",496593.0815,496593.0815,263236,263236,265,2.0896,15.60714048,28.9,0.9984,1.96614,0,14,0,0,15,0x8104,CRC Ok
11557,11544,"2024-11-16,13:00:00",497111.2272,497111.2272,263501,263501,265,2.07854,15.44672845,29.02,0.99843,1.95491,0,14,0,0,15,0x8104,CRC Ok
11558,11545,"2024-11-16,14:00:00",497628.4638,497628.4638,263766,263766,266,2.07689,15.42279718,29.08,0.99842,1.95295,0,14,0,0,15,0x8104,CRC Ok
11559,11546,"2024-11-16,15:00:00",498149.4207,498149.4207,264032,264032,266,2.07765,15.43382007,29.06,0.99843,1.95376,0,14,0,0,15,0x8104,CRC Ok
11560,11547,"2024-11-16,16:00:00",498671.3001,498671.3001,264298,264298,266,2.08677,15.56609473,29,0.99841,1.96283,0,14,0,0,15,0x8104,CRC Ok
11561,11548,"2024-11-16,17:00:00",499193.6446,499193.6446,264564,264564,248,2.0875,15.5766825,28.91,0.9984,1.96404,0,14,0,0,15,0x8104,CRC Ok
11562,11549,"2024-11-16,18:00:00",499680.8864,499680.8864,264812,264812,0,2.10327,15.80540743,28.85,0.99838,1.97934,0,14,0,0,15,0x8104,CRC Ok
11563,11550,"2024-11-16,19:00:00",499680.8864,499680.8864,264812,264812,0,2.21526,17.42968799,28.61,0.99815,2.08686,0,14,0,0,15,0x8104,CRC Ok
11564,11551,"2024-11-16,20:00:00",499680.8864,499680.8864,264812,264812,0,2.137,16.2946206,28.16,0.99827,2.01591,0,14,0,0,15,0x8104,CRC Ok
11565,11552,"2024-11-16,21:00:00",499680.8864,499680.8864,264812,264812,0,2.0707,15.33301866,27.68,0.99837,1.95625,0,14,0,0,15,0x8104,CRC Ok
11566,11553,"2024-11-16,22:00:00",499680.8864,499680.8864,264812,264812,17,2.05903,15.16375931,27.22,0.99838,1.94826,0,14,0,0,15,0x8104,CRC Ok
11567,11554,"2024-11-16,23:00:00",499714.6974,499714.6974,264829,264829,278,2.06365,15.23076687,26.8,0.99835,1.95537,0,14,0,0,15,0x8104,CRC Ok
11568,11555,"2024-11-17,00:00:00",500266.2336,500266.2336,265107,265107,264,2.1134,15.95233092,27.88,0.99831,1.99542,0,14,0,0,15,0x8104,CRC Ok
11569,11556,"2024-11-17,01:00:00",500788.7039,500788.7039,265371,265371,280,2.12399,16.10592616,28.17,0.9983,2.00349,0,14,0,0,15,0x8104,CRC Ok
11570,11557,"2024-11-17,02:00:00",501344.0412,501344.0412,265651,265651,290,2.10352,15.80903338,28.08,0.99834,1.98474,0,14,0,0,15,0x8104,CRC Ok
11571,11558,"2024-11-17,03:00:00",501917.8432,501917.8432,265941,265941,286,2.09414,15.67298773,27.82,0.99833,1.97757,0,14,0,0,15,0x8104,CRC Ok
11572,11559,"2024-11-17,04:00:00",502485.8907,502485.8907,266227,266227,286,2.10119,15.77523952,27.64,0.99832,1.98545,0,14,0,0,15,0x8104,CRC Ok
11573,11560,"2024-11-17,05:00:00",503054.1756,503054.1756,266513,266513,236,2.10352,15.80903338,27.54,0.99832,1.98833,0,14,0,0,15,0x8104,CRC Ok
11574,11561,"2024-11-17,06:00:00",503524.3595,503524.3595,266749,266749,250,2.12664,16.14436123,27.48,0.99828,2.01069,0,14,0,0,15,0x8104,CRC Ok
11575,11562,"2024-11-17,07:00:00",504022.0952,504022.0952,266999,266999,289,2.12639,16.14073528,27.64,0.99828,2.00934,0,14,0,0,15,0x8104,CRC Ok
11576,11563,"2024-11-17,08:00:00",504595.9344,504595.9344,267288,267288,287,2.11351,15.95392634,28.01,0.99832,1.99464,0,14,0,0,15,0x8104,CRC Ok
11577,11564,"2024-11-17,09:00:00",505164.6948,505164.6948,267575,267575,288,2.10587,15.84311731,28.27,0.99834,1.98571,0,14,0,0,15,0x8104,CRC Ok
11578,11565,"2024-11-17,10:00:00",505733.02,505733.02,267863,267863,289,2.09279,15.6534076,28.53,0.99837,1.97162,0,14,0,0,15,0x8104,CRC Ok
11579,11566,"2024-11-17,11:00:00",506300.3247,506300.3247,268152,268152,289,2.09181,15.63919388,28.74,0.99839,1.96929,0,14,0,0,15,0x8104,CRC Ok
11580,11567,"2024-11-17,12:00:00",506866.8239,506866.8239,268441,268441,218,2.08353,15.51910241,28.85,0.9984,1.96077,0,14,0,0,15,0x8104,CRC Ok
11581,11568,"2024-11-17,13:00:00",507293.4752,507293.4752,268659,268659,251,2.14748,16.44662042,28.88,0.99829,2.02097,0,14,0,0,15,0x8104,CRC Ok
11582,11569,"2024-11-17,14:00:00",507782.9928,507782.9928,268910,268910,280,2.12804,16.16466655,28.92,0.99832,2.00232,0,14,0,0,15,0x8104,CRC Ok
11583,11570,"2024-11-17,15:00:00",508329.6256,508329.6256,269190,269190,287,2.069,15.3083622,28.95,0.99843,1.94632,0,14,0,0,15,0x8104,CRC Ok
11584,11571,"2024-11-17,16:00:00",508892.2712,508892.2712,269477,269477,287,2.07619,15.41264452,28.89,0.99841,1.95355,0,14,0,0,15,0x8104,CRC Ok
11585,11572,"2024-11-17,17:00:00",509455.3432,509455.3432,269764,269764,224,2.08652,15.56246878,28.85,0.9984,1.96356,0,14,0,0,15,0x8104,CRC Ok
11586,11573,"2024-11-17,18:00:00",509895.1336,509895.1336,269988,269988,0,2.12418,16.10868188,28.78,0.99834,1.9996,0,14,0,0,15,0x8104,CRC Ok
11587,11574,"2024-11-17,19:00:00",509895.1336,509895.1336,269988,269988,28,2.21742,17.4610162,28.41,0.99813,2.09033,0,14,0,0,15,0x8104,CRC Ok
11588,11575,"2024-11-17,20:00:00",509950.3167,509950.3167,270016,270016,20,2.13479,16.2625672,27.86,0.99826,2.01586,0,14,0,0,15,0x8104,CRC Ok
11589,11576,"2024-11-17,21:00:00",509989.6279,509989.6279,270036,270036,17,2.21187,17.38052011,27.63,0.99811,2.09054,0,14,0,0,15,0x8104,CRC Ok
11590,11577,"2024-11-17,22:00:00",510023.1145,510023.1145,270053,270053,0,2.20751,17.31728354,27.22,0.9981,2.08934,0,14,0,0,15,0x8104,CRC Ok
11591,11578,"2024-11-17,23:00:00",510023.1145,510023.1145,270053,270053,252,2.14075,16.34900985,26.7,0.9982,2.02945,0,14,0,0,15,0x8104,CRC Ok
11592,11579,"2024-11-18,00:00:00",510523.1425,510523.1425,270305,270305,357,2.10788,15.87226994,27.57,0.9983,1.9923,0,14,0,0,15,0x8104,CRC Ok
11593,11580,"2024-11-18,01:00:00",511227.9794,511227.9794,270662,270662,380,2.09201,15.64209464,28.13,0.99835,1.97351,0,14,0,0,15,0x8104,CRC Ok
11594,11581,"2024-11-18,02:00:00",511978.2987,511978.2987,271042,271042,390,2.10066,15.76755251,28.09,0.99835,1.98194,0,14,0,0,15,0x8104,CRC Ok
11595,11582,"2024-11-18,03:00:00",512752.4553,512752.4553,271432,271432,329,2.1087,15.88416306,27.99,0.99832,1.99026,0,14,0,0,15,0x8104,CRC Ok
11596,11583,"2024-11-18,04:00:00",513406.3156,513406.3156,271761,271761,177,2.10646,15.85167455,27.94,0.99833,1.98842,0,14,0,0,15,0x8104,CRC Ok
11597,11584,"2024-11-18,05:00:00",513758.9776,513758.9776,271938,271938,238,2.16268,16.66707818,27.71,0.99821,2.04334,0,14,0,0,15,0x8104,CRC Ok
11598,11585,"2024-11-18,06:00:00",514232.5834,514232.5834,272176,272176,270,2.14795,16.45343721,27.46,0.99823,2.03107,0,14,0,0,15,0x8104,CRC Ok
11599,11586,"2024-11-18,07:00:00",514766.8175,514766.8175,272446,272446,292,2.10668,15.85486538,27.9,0.99831,1.98893,0,14,0,0,15,0x8104,CRC Ok
11600,11587,"2024-11-18,08:00:00",515344.1335,515344.1335,272738,272738,311,2.09405,15.67168239,28.19,0.99835,1.97504,0,14,0,0,15,0x8104,CRC Ok
11601,11588,"2024-11-18,09:00:00",515958.7823,515958.7823,273049,273049,443,2.09408,15.6721175,28.34,0.99837,1.97405,0,14,0,0,15,0x8104,CRC Ok
11602,11589,"2024-11-18,10:00:00",516830.7888,516830.7888,273492,273492,309,2.08988,15.61120154,28.55,0.99838,1.96869,0,14,0,0,15,0x8104,CRC Ok
11603,11590,"2024-11-18,11:00:00",517434.1115,517434.1115,273801,273801,285,2.07361,15.37522472,28.75,0.99843,1.952,0,14,0,0,15,0x8104,CRC Ok
11604,11591,"2024-11-18,12:00:00",517987.1412,517987.1412,274086,274086,284,2.0623,15.21118674,28.87,0.99846,1.94055,0,14,0,0,15,0x8104,CRC Ok
11605,11592,"2024-11-18,13:00:00",518533.2751,518533.2751,274370,274370,260,2.04556,14.96839313,28.96,0.99848,1.92414,0,14,0,0,15,0x8104,CRC Ok
11606,11593,"2024-11-18,14:00:00",519035.3757,519035.3757,274630,274630,282,2.0632,15.22424016,29,0.99845,1.94053,0,14,0,0,15,0x8104,CRC Ok
11607,11594,"2024-11-18,15:00:00",519584.1821,519584.1821,274912,274912,283,2.07247,15.35869039,29.01,0.99845,1.94922,0,14,0,0,15,0x8104,CRC Ok
11608,11595,"2024-11-18,16:00:00",520137.5643,520137.5643,275195,275195,283,2.07782,15.43628572,28.96,0.99843,1.95457,0,14,0,0,15,0x8104,CRC Ok
11609,11596,"2024-11-18,17:00:00",520692.7708,520692.7708,275478,275478,266,2.08353,15.51910241,28.89,0.99841,1.96044,0,14,0,0,15,0x8104,CRC Ok
11610,11597,"2024-11-18,18:00:00",521215.2448,521215.2448,275744,275744,0,2.09904,15.74405635,28.8,0.99837,1.97571,0,14,0,0,15,0x8104,CRC Ok
11611,11598,"2024-11-18,19:00:00",521215.2448,521215.2448,275744,275744,0,2.22187,17.52555811,28.51,0.99813,2.0938,0,14,0,0,15,0x8104,CRC Ok
11612,11599,"2024-11-18,20:00:00",521215.2448,521215.2448,275744,275744,0,2.1428,16.37874264,28.04,0.99825,2.02225,0,14,0,0,15,0x8104,CRC Ok
11613,11600,"2024-11-18,21:00:00",521215.2448,521215.2448,275744,275744,0,2.0744,15.38668272,27.56,0.99836,1.9606,0,14,0,0,15,0x8104,CRC Ok
11614,11601,"2024-11-18,22:00:00",521215.2448,521215.2448,275744,275744,0,2.05833,15.15360665,27.11,0.99838,1.94829,0,14,0,0,15,0x8104,CRC Ok
11615,11602,"2024-11-18,23:00:00",521215.2448,521215.2448,275744,275744,275,2.06057,15.18609517,26.71,0.99835,1.95308,0,14,0,0,15,0x8104,CRC Ok
11616,11603,"2024-11-19,00:00:00",521758.6275,521758.6275,276019,276019,284,2.09128,15.63150686,27.69,0.99835,1.97571,0,14,0,0,15,0x8104,CRC Ok
11617,11604,"2024-11-19,01:00:00",522320.389,522320.389,276303,276303,274,2.09411,15.67255262,28.19,0.99836,1.97506,0,14,0,0,15,0x8104,CRC Ok
11618,11605,"2024-11-19,02:00:00",522863.2299,522863.2299,276577,276577,275,2.09559,15.69401824,28.12,0.99834,1.97697,0,14,0,0,15,0x8104,CRC Ok
11619,11606,"2024-11-19,03:00:00",523409.5688,523409.5688,276852,276852,275,2.12146,16.06923155,28,0.9983,2.00227,0,14,0,0,15,0x8104,CRC Ok
11620,11607,"2024-11-19,04:00:00",523955.4524,523955.4524,277127,277127,229,2.10094,15.77161357,27.91,0.99832,1.98341,0,14,0,0,15,0x8104,CRC Ok
